ID,Hash,filetype,filesize,family,tag
12153,0538923adbf309894703e7af40224c3e24ef4ed5a9eb9272db252ee9c9bfcc60,5,0,1,11
12154,193742e06dc2c78622fe6bfb4d5145d656fd30f3bc3f6c2ac8b84c9c8f9c7f2c,5,0,1,11
12155,1a5409dab6dcae5ed961aa704d9259671b08f1628f7cfddb734e35002b521208,5,0,1,11
12156,2ca9427995c7b684ad26d27bb754ac03fff57bde61718b54d2471463d61dba08,5,0,1,11
12157,34eeb2697ada2f56d8b4f104a3a0b356d5be969be20dd4fc4eb031b5dc1ba073,5,0,1,11
12158,4187be61c8d9b277f7ae296b0a9ec3d28b5bc68b993c6291bffa787f4a013ded,5,0,1,11
12159,87b9bbc691d4b694bf491c294c5b28e97a6051ed6615705076b8dff079471f60,5,0,1,11
12160,0a7ee7ede2c81605d942d3e5431a94812a194d1b750d4657c8a204e87b01a260,1,607136,1,0
12161,8b111d599937fd9a90cd80ad92c29f95d7b91b9fdfb5bfcadda5e1c7146a08d7,6,519584,1,0
12162,54734a73f7b1c656020ed94fe5751dbdc9e70f708e41f3f75579d92e17b0e4ba,5,0,1,11
12163,d8339374da4fecc24532fc845c11910e966eb118a1992b4edada96b6b6aa8709,5,0,1,11
12164,78691b4968a692bfecd826db7d8ecd2f3addd17d35e63c2f3ba390c4f9b1b6cb,5,0,1,11
12165,fbde610092f3c8b0771f7269af24344b3b8f905a2e1a77d88f5bb739462364fe,5,0,1,11
12166,8db07c88c3f290ee58c9c6ef6d728b99c6859ad1eb3d228b5aa0a5da6c1fa00e,5,0,1,11
12167,a8dc5d054df716f15f73d14895e7484fb0417c099b88311c6990c16ca387c2a1,5,0,1,11
12168,db1cbab71da1107a75ffdc20e6414137444a6aa7719115ccb5c974283c61e72e,5,0,1,11
12169,40c76f418fbb2a515af4dec81e501ceb725fd4c916d50fca1a82b9f5abc1dccf,11,1026,1,11
12170,4294e84cc2a4a5a5cec82f87f1ecd2e27522a23c7245ad0444207eecbc437605,5,0,1,11
12171,5957dffd1fb6f2c6afe92dda651d094928cbc4e691ebe8402520bbd98679f6c4,5,0,1,11
12172,66501b659614227584da04b64f44309544355e3582f59dbca3c9463f67b7e303,4,47296,1,11
12173,86df5957e0cd2ebdfc2ff8c2f05569ba71462149042df57ece5e8228e3bc5ddd,11,1026,1,11
12174,b55a9e83251cb7f29f31dd369cbd9c3941c3725f4fad0e2a47f80e75f8f05498,15,32768,1,8
12175,c249cbbae0c989d2d6fbb04a373ca25a3295a10ad2f9ae5a80b393ba9e8395e1,15,50688,1,8
12176,c666cacfdb412ce2bc653f9e2f19484de94216d950f8c304d1f1f8add2ee32ce,11,1026,1,11
12177,fcd81262f272add4c9a4aa82031140b8b7658cc5dd3b96209ed3a655a145e831,16,186837,1,8
12178,c547120564ad240c63822da9e3e2b8844261e99c68d7585747c827069966bbc4,5,0,1,11
12179,00f119701c9f3eba273701a6a731adafd7b8902f6bccf34e61308984456e193a,11,1160,1,8
12180,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,5,1,1,8
12181,01c7c858a5a4ae74690fdde79ac994bd7085820238c133cc653d60b6f0658a52,6,4775200,1,8
12182,043dece6ea7c83956b3300b95f8a0e92badaa8fc29d6c510706649d1d810679a,11,1203,1,8
12183,057c75c1ad70653733dce43ea5bf151500f39314e8b0236ee80f8d5db623627f,11,1141,1,8
12184,09d60a9ec3c51badcec93b2adf7bd679e50094ab945968f650fad899483e29d1,11,24432,1,11
12185,0a2850bc29ec1994011801cb11431fd08740e1f45db92fcd0544cc8024edbcf3,11,110,1,11
12186,0a932c74d42d7322b65eb58b0e1ac2961eade87489297b4d3d2ad9eb113eed77,5,0,1,11
12187,0c0df17bfece897a1da7765c822453b09866573028cecced13e2efee02bcccc4,11,86619,1,8
12188,0cdb59e255ccd7dcf4af847c9b020aeaee78ce7fcf5f214ebcf123328acf9f24,11,1091,1,8
12189,a9975ba86a63c90507afe7e6f721cef5f9a96724c1ee0ee0ab614c7751642ded,5,0,1,11
12190,c8c8507e0c8f8235f6c305d68e59b0d08e27b515eae4bac3f720d5e987ff28ef,5,0,1,11
12191,ed90ce1f408c31af6010d68850f493304336b192ad280e7c8e8d2c5b7008fbbf,5,0,1,11
12192,01633af41b64d49aee8832b5c925ecb2422202c451a824d9c1178dbd20082feb,5,0,1,11
12193,01c9fe1e5eb9fc7973b575fc00d3edcb57438f982014bcf404db44ff9c5f5d9d,5,0,1,11
12194,033c5410d38dbc864bd7c62ceda210d70d7952e9db366ad0f7d78d7f2eec494f,5,0,1,11
12195,0b9f28777e54449f93ccb888866c7fc5f767a0cb53b203e8b9eea1168d1ad870,5,0,1,11
12196,0ce3295de554544b847fbc59e391be657d2178a6c2883b737bca86a021b39aee,5,0,1,11
12197,0ef3022372a97c4a070a9c577096d3d6f321b2c411f3d7f88cdaf9279e6c0f37,5,0,1,11
12198,0f837f2fb3d47d95c1b825b054c0355bb3be201c3410155a89102853a953999a,5,0,1,11
12199,10ae82b5a349c1ac15015d2c50e5adaf6413538f69be961cf0140cfc152b97e3,11,1559,1,11
12200,08d549681ed75104ceccb2a0cb3658bbff7bf24ddd49b294c8f827df3a4f7b1f,5,0,1,11
