ID,Domain,length,number_percent,char_percent,special_char_percent,domain_depth,tag
263,hostmaster.upgrinfo.com,23,0.0,0.9130434782608695,1.0,3,6
264,0authsecure-recoveryonhold-amaz0nappid.dnsrd.com,48,0.041666666666666664,0.9166666666666666,0.9583333333333334,3,6
265,0authsecure-recoveryonhold-amaz0nappid.ezua.com,47,0.0425531914893617,0.9148936170212766,0.9574468085106383,3,6
266,2.mynumber.org,14,0.07142857142857142,0.8571428571428571,1.0,3,6
267,0iyhsoera.ikwb.com,18,0.05555555555555555,0.8888888888888888,1.0,3,6
268,48raybanuk.mynumber.org,23,0.08695652173913043,0.9130434782608695,1.0,3,6
269,0ljitfsrxc.dnsrd.com,20,0.05,0.9,1.0,3,6
270,aceleradosrp.servegame.org,26,0.0,0.9230769230769231,1.0,3,6
271,53-user032.https443.org,23,0.34782608695652173,0.8695652173913043,0.9565217391304348,3,6
272,139.ourhobby.com,16,0.1875,0.875,1.0,3,6
273,360xbox360.servegame.org,24,0.25,0.9166666666666666,1.0,3,6
274,22-id-8652339wellet2864.servegame.org,37,0.35135135135135137,0.8918918918918919,0.9459459459459459,3,6
275,101993939.mynumber.org,22,0.4090909090909091,0.9090909090909091,1.0,3,6
276,01chase-support.redirectme.net,30,0.06666666666666667,0.9,0.9666666666666667,3,6
277,04g80kb5jful.sendsmtp.com,25,0.2,0.92,1.0,3,6
278,3389pi.servegame.org,20,0.2,0.9,1.0,3,6
279,account-online-disattivato.https443.org,39,0.07692307692307693,0.8974358974358975,0.9487179487179487,3,6
280,103.dnsrd.com,13,0.23076923076923078,0.8461538461538461,1.0,3,6
281,101guidekd.ezua.com,19,0.15789473684210525,0.8947368421052632,1.0,3,6
282,af-cu0.https443.org,19,0.21052631578947367,0.8421052631578947,0.9473684210526315,3,6
283,24x7.mynumber.org,17,0.17647058823529413,0.8823529411764706,1.0,3,6
284,00l7b5c.sendsmtp.com,20,0.2,0.9,1.0,3,6
285,0164963546.mynumber.org,23,0.43478260869565216,0.9130434782608695,1.0,3,6
286,gaewaa.upgrinfo.com,19,0.0,0.8947368421052632,1.0,3,6
287,javainfo.upgrinfo.com,21,0.0,0.9047619047619048,1.0,3,6
288,0c20773.sendsmtp.com,20,0.3,0.9,1.0,3,6
289,givemeaaa.upgrinfo.com,22,0.0,0.9090909090909091,1.0,3,6
290,53rd-icare101info.https443.org,30,0.26666666666666666,0.9,0.9666666666666667,3,6
291,102.dnsrd.com,13,0.23076923076923078,0.8461538461538461,1.0,3,6
292,01turf.sendsmtp.com,19,0.10526315789473684,0.8947368421052632,1.0,3,6
293,09cwy.ikwb.com,14,0.14285714285714285,0.8571428571428571,1.0,3,6
294,1000uc.dnsrd.com,16,0.25,0.875,1.0,3,6
295,06j14e12.ikwb.com,17,0.35294117647058826,0.8823529411764706,1.0,3,6
296,top.beijingdasihei.com,22,0.0,0.9090909090909091,1.0,3,6
297,4i72t0.mynumber.org,19,0.21052631578947367,0.8947368421052632,1.0,3,6
298,03b-verify.redirectme.net,25,0.08,0.88,0.96,3,6
299,0329240.dnsrd.com,17,0.4117647058823529,0.8823529411764706,1.0,3,6
300,account-0update-servic4e-inf0.https443.org,42,0.14285714285714285,0.8809523809523809,0.9285714285714286,3,6
301,001.mynumber.org,16,0.1875,0.875,1.0,3,6
302,moneyaaa.beijingdasihei.com,27,0.0,0.9259259259259259,1.0,3,6
303,2022warcraft2022.servegame.org,30,0.26666666666666666,0.9333333333333333,1.0,3,6
304,00verifyeddboa.ikwb.com,23,0.08695652173913043,0.9130434782608695,1.0,3,6
305,8ballclub.servegame.org,23,0.043478260869565216,0.9130434782608695,1.0,3,6
306,014ljm.dnsrd.com,16,0.1875,0.875,1.0,3,6
307,04yk65c.ikwb.com,16,0.25,0.875,1.0,3,6
308,06107.ikwb.com,14,0.35714285714285715,0.8571428571428571,1.0,3,6
